freq_hz,s11_re,s11_im,swr,return_loss_db,r_ohm,x_ohm,s21_re,s21_im
144000000,-0.001,0.002,1.003,46.48,50.1,0.1,,
144050000,-0.001,0.002,1.003,46.48,50.0,0.2,,
144100000,-0.001,0.001,1.002,48.52,50.1,-0.1,,
144150000,-0.001,0.001,1.002,48.52,49.9,0.0,,
144200000,0.000,0.001,1.001,60.00,50.0,0.1,,
144250000,0.000,0.001,1.001,60.00,50.1,0.0,,
144300000,0.000,0.000,1.000,999.99,50.0,0.0,,
144350000,0.000,0.000,1.000,999.99,50.0,0.0,,
144400000,0.000,0.000,1.000,999.99,50.1,0.0,,
144450000,0.000,0.001,1.001,60.00,50.0,-0.1,,
144500000,0.000,0.001,1.001,60.00,49.9,0.0,,
144550000,0.001,0.001,1.002,48.52,50.1,0.1,,
144600000,0.001,0.001,1.002,48.52,50.0,0.2,,
144650000,0.001,0.002,1.003,46.48,50.1,0.1,,
144700000,0.001,0.002,1.003,46.48,49.9,-0.1,,
144750000,0.001,0.002,1.003,46.48,50.0,0.0,,
144800000,0.001,0.001,1.002,48.52,50.1,0.1,,
144850000,0.001,0.001,1.002,48.52,50.0,0.0,,
144900000,0.001,0.002,1.003,46.48,50.1,-0.1,,
144950000,0.001,0.002,1.003,46.48,50.0,0.1,,
145000000,0.001,0.001,1.002,48.52,49.9,0.0,,
145050000,0.001,0.001,1.002,48.52,50.0,0.1,,
145100000,0.000,0.001,1.001,60.00,50.1,0.0,,
145150000,0.000,0.001,1.001,60.00,50.0,-0.1,,
145200000,0.000,0.000,1.000,999.99,50.0,0.0,,
145250000,0.000,0.000,1.000,999.99,50.1,0.0,,
145300000,0.000,0.000,1.000,999.99,50.0,0.0,,
145350000,0.000,0.001,1.001,60.00,49.9,0.1,,
145400000,0.000,0.001,1.001,60.00,50.0,0.0,,
145450000,0.001,0.001,1.002,48.52,50.1,-0.1,,
145500000,0.001,0.002,1.003,46.48,50.0,0.1,,
145550000,0.001,0.002,1.003,46.48,50.1,0.0,,
145600000,0.001,0.001,1.002,48.52,50.0,0.1,,
145650000,0.001,0.002,1.003,46.48,49.9,-0.1,,
145700000,0.001,0.002,1.003,46.48,50.0,0.0,,
145750000,0.001,0.001,1.002,48.52,50.1,0.1,,
145800000,0.001,0.002,1.003,46.48,50.0,0.0,,
145850000,0.001,0.002,1.003,46.48,50.1,-0.1,,
145900000,0.001,0.001,1.002,48.52,50.0,0.1,,
145950000,0.001,0.001,1.002,48.52,49.9,0.0,,
146000000,0.001,0.002,1.003,46.48,50.0,0.1,,
