freq_hz,s11_re,s11_im,swr,return_loss_db,r_ohm,x_ohm,s21_re,s21_im
144000000,0.145,0.225,1.95,8.54,35.2,28.5,,
144050000,0.142,0.220,1.92,8.68,35.8,27.8,,
144100000,0.139,0.215,1.89,8.83,36.4,27.1,,
144150000,0.136,0.210,1.86,8.99,37.0,26.4,,
144200000,0.133,0.205,1.83,9.16,37.6,25.7,,
144250000,0.130,0.200,1.80,9.34,38.2,25.0,,
144300000,0.127,0.195,1.77,9.53,38.8,24.3,,
144350000,0.124,0.190,1.74,9.73,39.4,23.6,,
144400000,0.121,0.185,1.71,9.94,40.0,22.9,,
144450000,0.118,0.180,1.68,10.17,40.6,22.2,,
144500000,0.115,0.175,1.65,10.41,41.2,21.5,,
144550000,0.112,0.170,1.62,10.66,41.8,20.8,,
144600000,0.109,0.165,1.59,10.93,42.4,20.1,,
144650000,0.106,0.160,1.56,11.22,43.0,19.4,,
144700000,0.103,0.155,1.53,11.53,43.6,18.7,,
144750000,0.100,0.150,1.50,11.86,44.2,18.0,,
144800000,0.097,0.145,1.47,12.21,44.8,17.3,,
144850000,0.094,0.140,1.44,12.59,45.4,16.6,,
144900000,0.091,0.135,1.41,13.00,46.0,15.9,,
144950000,0.088,0.130,1.38,13.43,46.6,15.2,,
145000000,0.085,0.125,1.35,13.90,47.2,14.5,,
145050000,0.082,0.120,1.32,14.41,47.8,13.8,,
145100000,0.079,0.115,1.29,14.96,48.4,13.1,,
145150000,0.076,0.110,1.26,15.56,49.0,12.4,,
145200000,0.073,0.105,1.23,16.22,49.6,11.7,,
145250000,0.070,0.100,1.20,16.95,49.8,11.0,,
145300000,0.067,0.095,1.17,17.77,50.0,10.3,,
145350000,0.064,0.090,1.14,18.69,50.2,9.6,,
145400000,0.061,0.085,1.11,19.74,50.4,8.9,,
145450000,0.058,0.080,1.08,20.96,50.6,8.2,,
145500000,0.055,0.075,1.05,22.41,50.8,7.5,,
145550000,0.052,0.070,1.02,24.19,51.0,6.8,,
145600000,0.049,0.065,1.01,26.47,51.2,6.1,,
145650000,0.046,0.060,1.01,29.55,51.4,5.4,,
145700000,0.043,0.055,1.01,33.97,51.6,4.7,,
145750000,0.040,0.050,1.01,40.45,51.8,4.0,,
145800000,0.037,0.045,1.01,50.36,52.0,3.3,,
145850000,0.034,0.040,1.01,65.42,52.2,2.6,,
145900000,0.031,0.035,1.01,85.26,52.4,1.9,,
145950000,0.028,0.030,1.01,105.7,52.6,1.2,,
146000000,0.025,0.025,1.01,120.4,52.8,0.5,,
