freq_hz,s11_re,s11_im,swr,return_loss_db,r_ohm,x_ohm,s21_re,s21_im
144000000,-0.002,0.001,1.00,54.10,50.1,0.1,0.950,-0.005
144100000,-0.002,0.001,1.00,54.10,50.1,0.1,0.949,-0.005
144200000,-0.002,0.001,1.00,54.10,50.1,0.1,0.948,-0.006
144300000,-0.002,0.001,1.00,54.10,50.1,0.1,0.947,-0.006
144400000,-0.002,0.001,1.00,54.10,50.1,0.1,0.946,-0.007
144500000,-0.002,0.001,1.00,54.10,50.1,0.1,0.945,-0.007
144600000,-0.002,0.001,1.00,54.10,50.1,0.1,0.944,-0.008
144700000,-0.002,0.001,1.00,54.10,50.1,0.1,0.943,-0.008
144800000,-0.002,0.001,1.00,54.10,50.1,0.1,0.942,-0.009
144900000,-0.002,0.001,1.00,54.10,50.1,0.1,0.941,-0.009
145000000,-0.002,0.001,1.00,54.10,50.1,0.1,0.940,-0.010
145100000,-0.002,0.001,1.00,54.10,50.1,0.1,0.939,-0.010
145200000,-0.002,0.001,1.00,54.10,50.1,0.1,0.938,-0.011
145300000,-0.002,0.001,1.00,54.10,50.1,0.1,0.937,-0.011
145400000,-0.002,0.001,1.00,54.10,50.1,0.1,0.936,-0.012
145500000,-0.002,0.001,1.00,54.10,50.1,0.1,0.935,-0.012
145600000,-0.002,0.001,1.00,54.10,50.1,0.1,0.934,-0.013
145700000,-0.002,0.001,1.00,54.10,50.1,0.1,0.933,-0.013
145800000,-0.002,0.001,1.00,54.10,50.1,0.1,0.932,-0.014
145900000,-0.002,0.001,1.00,54.10,50.1,0.1,0.931,-0.014
146000000,-0.002,0.001,1.00,54.10,50.1,0.1,0.930,-0.015
146100000,-0.002,0.001,1.00,54.10,50.1,0.1,0.929,-0.015
146200000,-0.002,0.001,1.00,54.10,50.1,0.1,0.928,-0.016
146300000,-0.002,0.001,1.00,54.10,50.1,0.1,0.927,-0.016
146400000,-0.002,0.001,1.00,54.10,50.1,0.1,0.926,-0.017
146500000,-0.002,0.001,1.00,54.10,50.1,0.1,0.925,-0.017
146600000,-0.002,0.001,1.00,54.10,50.1,0.1,0.924,-0.018
146700000,-0.002,0.001,1.00,54.10,50.1,0.1,0.923,-0.018
146800000,-0.002,0.001,1.00,54.10,50.1,0.1,0.922,-0.019
146900000,-0.002,0.001,1.00,54.10,50.1,0.1,0.921,-0.019
147000000,-0.002,0.001,1.00,54.10,50.1,0.1,0.920,-0.020
