freq_hz,s11_re,s11_im,swr,return_loss_db,r_ohm,x_ohm,s21_re,s21_im
144000000,-0.980,-0.150,99.00,0.17,0.5,-75.0,,
144100000,-0.975,-0.158,79.00,0.21,0.6,-74.2,,
144200000,-0.970,-0.166,64.00,0.27,0.7,-73.4,,
144300000,-0.965,-0.174,53.00,0.33,0.8,-72.6,,
144400000,-0.960,-0.182,45.00,0.39,0.9,-71.8,,
144500000,-0.955,-0.190,39.00,0.46,1.0,-71.0,,
144600000,-0.950,-0.198,34.00,0.52,1.1,-70.2,,
144700000,-0.945,-0.206,30.00,0.59,1.2,-69.4,,
144800000,-0.940,-0.214,27.00,0.66,1.3,-68.6,,
144900000,-0.935,-0.222,24.50,0.73,1.4,-67.8,,
145000000,-0.930,-0.230,22.50,0.81,1.5,-67.0,,
145100000,-0.925,-0.238,20.50,0.89,1.6,-66.2,,
145200000,-0.920,-0.246,19.00,0.97,1.7,-65.4,,
145300000,-0.915,-0.254,17.50,1.05,1.8,-64.6,,
145400000,-0.910,-0.262,16.50,1.14,1.9,-63.8,,
145500000,-0.905,-0.270,15.50,1.23,2.0,-63.0,,
145600000,-0.900,-0.278,14.50,1.33,2.1,-62.2,,
145700000,-0.895,-0.286,13.80,1.43,2.2,-61.4,,
145800000,-0.890,-0.294,13.00,1.54,2.3,-60.6,,
145900000,-0.885,-0.302,12.30,1.65,2.4,-59.8,,
146000000,-0.880,-0.310,11.70,1.77,2.5,-59.0,,
146100000,-0.875,-0.318,11.20,1.89,2.6,-58.2,,
146200000,-0.870,-0.326,10.70,2.02,2.7,-57.4,,
146300000,-0.865,-0.334,10.20,2.16,2.8,-56.6,,
146400000,-0.860,-0.342,9.80,2.30,2.9,-55.8,,
146500000,-0.855,-0.350,9.40,2.45,3.0,-55.0,,
146600000,-0.850,-0.358,9.00,2.61,3.1,-54.2,,
146700000,-0.845,-0.366,8.70,2.77,3.2,-53.4,,
146800000,-0.840,-0.374,8.40,2.95,3.3,-52.6,,
146900000,-0.835,-0.382,8.10,3.13,3.4,-51.8,,
147000000,-0.830,-0.390,7.80,3.32,3.5,-51.0,,
