freq_hz,s11_re,s11_im,swr,return_loss_db,r_ohm,x_ohm,s21_re,s21_im
144000000,0.980,0.075,99.00,0.17,5000.0,37.5,,
144100000,0.975,0.079,79.00,0.21,4875.0,39.5,,
144200000,0.970,0.083,64.00,0.27,4750.0,41.5,,
144300000,0.965,0.087,53.00,0.33,4625.0,43.5,,
144400000,0.960,0.091,45.00,0.39,4500.0,45.5,,
144500000,0.955,0.095,39.00,0.46,4375.0,47.5,,
144600000,0.950,0.099,34.00,0.52,4250.0,49.5,,
144700000,0.945,0.103,30.00,0.59,4125.0,51.5,,
144800000,0.940,0.107,27.00,0.66,4000.0,53.5,,
144900000,0.935,0.111,24.50,0.73,3875.0,55.5,,
145000000,0.930,0.115,22.50,0.81,3750.0,57.5,,
145100000,0.925,0.119,20.50,0.89,3625.0,59.5,,
145200000,0.920,0.123,19.00,0.97,3500.0,61.5,,
145300000,0.915,0.127,17.50,1.05,3375.0,63.5,,
145400000,0.910,0.131,16.50,1.14,3250.0,65.5,,
145500000,0.905,0.135,15.50,1.23,3125.0,67.5,,
145600000,0.900,0.139,14.50,1.33,3000.0,69.5,,
145700000,0.895,0.143,13.80,1.43,2875.0,71.5,,
145800000,0.890,0.147,13.00,1.54,2750.0,73.5,,
145900000,0.885,0.151,12.30,1.65,2625.0,75.5,,
146000000,0.880,0.155,11.70,1.77,2500.0,77.5,,
146100000,0.875,0.159,11.20,1.89,2375.0,79.5,,
146200000,0.870,0.163,10.70,2.02,2250.0,81.5,,
146300000,0.865,0.167,10.20,2.16,2125.0,83.5,,
146400000,0.860,0.171,9.80,2.30,2000.0,85.5,,
146500000,0.855,0.175,9.40,2.45,1875.0,87.5,,
146600000,0.850,0.179,9.00,2.61,1750.0,89.5,,
146700000,0.845,0.183,8.70,2.77,1625.0,91.5,,
146800000,0.840,0.187,8.40,2.95,1500.0,93.5,,
146900000,0.835,0.191,8.10,3.13,1375.0,95.5,,
147000000,0.830,0.195,7.80,3.32,1250.0,97.5,,
