freq_hz,s11_re,s11_im,swr,return_loss_db,r_ohm,x_ohm,s21_re,s21_im
140000000,-0.850,0.250,9.00,2.61,12.5,12.5,-0.120,-0.050
141000000,-0.750,0.200,7.00,3.52,15.0,10.0,-0.240,-0.100
142000000,-0.650,0.150,5.00,4.77,20.0,7.5,-0.450,-0.180
143000000,-0.480,0.100,3.50,3.37,28.0,5.0,-0.680,-0.280
144000000,-0.280,0.050,2.35,4.96,38.0,2.5,-0.850,-0.350
144500000,-0.120,0.020,1.42,13.00,45.0,1.0,-0.950,-0.120
145000000,-0.020,0.005,1.05,26.47,49.0,0.3,-0.990,-0.035
145500000,0.005,0.002,1.01,38.06,50.5,0.1,-0.998,-0.010
146000000,0.010,0.003,1.02,34.77,51.0,0.2,-0.995,-0.015
146500000,0.020,0.005,1.05,26.47,52.0,0.3,-0.985,-0.045
147000000,0.120,0.025,1.42,13.00,55.0,1.5,-0.940,-0.140
148000000,0.300,0.055,2.50,4.64,65.0,3.5,-0.820,-0.380
149000000,0.520,0.110,3.80,3.15,80.0,6.5,-0.620,-0.600
150000000,0.680,0.165,5.50,4.19,95.0,9.5,-0.410,-0.750
151000000,0.780,0.210,7.50,3.32,110.0,12.0,-0.220,-0.850
152000000,0.850,0.250,10.0,2.30,125.0,14.5,-0.100,-0.920
153000000,0.900,0.285,13.0,1.54,140.0,17.0,-0.045,-0.960
