freq_hz,s11_re,s11_im,swr,return_loss_db,r_ohm,x_ohm,s21_re,s21_im
144000000,-0.333,0.000,2.00,6.02,25.0,0.0,,
144050000,-0.320,0.082,2.05,5.83,25.5,3.8,,
144100000,-0.307,0.163,2.10,5.66,26.0,7.5,,
144150000,-0.293,0.242,2.15,5.50,26.5,11.2,,
144200000,-0.280,0.318,2.20,5.35,27.0,14.8,,
144250000,-0.266,0.391,2.25,5.21,27.5,18.3,,
144300000,-0.252,0.461,2.30,5.08,28.0,21.7,,
144350000,-0.238,0.527,2.35,4.96,28.5,25.0,,
144400000,-0.223,0.589,2.40,4.85,29.0,28.2,,
144450000,-0.209,0.647,2.45,4.74,29.5,31.2,,
144500000,-0.194,0.700,2.50,4.64,30.0,34.1,,
144550000,-0.179,0.749,2.55,4.55,30.5,36.8,,
144600000,-0.164,0.792,2.60,4.46,31.0,39.4,,
144650000,-0.149,0.831,2.65,4.37,31.5,41.8,,
144700000,-0.134,0.865,2.70,4.29,32.0,44.0,,
144750000,-0.118,0.894,2.75,4.21,32.5,46.0,,
144800000,-0.103,0.918,2.80,4.14,33.0,47.8,,
144850000,-0.088,0.937,2.85,4.07,33.5,49.4,,
144900000,-0.072,0.951,2.90,4.00,34.0,50.8,,
144950000,-0.057,0.961,2.95,3.94,34.5,52.0,,
145000000,-0.042,0.966,3.00,3.87,35.0,53.0,,
145050000,-0.026,0.967,3.05,3.81,35.5,53.7,,
145100000,-0.011,0.964,3.10,3.76,36.0,54.3,,
145150000,0.005,0.957,3.15,3.70,36.5,54.6,,
145200000,0.020,0.946,3.20,3.65,37.0,54.7,,
145250000,0.035,0.931,3.25,3.60,37.5,54.6,,
145300000,0.050,0.913,3.30,3.55,38.0,54.3,,
145350000,0.065,0.891,3.35,3.50,38.5,53.8,,
145400000,0.079,0.866,3.40,3.46,39.0,53.2,,
145450000,0.093,0.838,3.45,3.41,39.5,52.3,,
145500000,0.107,0.808,3.50,3.37,40.0,51.3,,
145550000,0.121,0.775,3.55,3.33,40.5,50.1,,
145600000,0.134,0.740,3.60,3.29,41.0,48.7,,
145650000,0.147,0.703,3.65,3.25,41.5,47.2,,
145700000,0.159,0.664,3.70,3.22,42.0,45.5,,
145750000,0.171,0.623,3.75,3.18,42.5,43.6,,
145800000,0.182,0.581,3.80,3.15,43.0,41.6,,
145850000,0.193,0.537,3.85,3.12,43.5,39.4,,
145900000,0.204,0.492,3.90,3.09,44.0,37.1,,
145950000,0.214,0.446,3.95,3.06,44.5,34.7,,
146000000,0.224,0.399,4.00,3.03,45.0,32.1,,
