freq_hz,s11_re,s11_im,swr,return_loss_db,r_ohm,x_ohm,s21_re,s21_im
144000000,-0.005,0.002,1.01,38.06,50.5,0.2,0.995,-0.015
144050000,-0.006,0.003,1.01,36.48,50.6,0.3,0.994,-0.018
144100000,-0.007,0.004,1.02,34.77,50.7,0.4,0.993,-0.021
144150000,-0.008,0.005,1.02,33.52,50.8,0.5,0.992,-0.024
144200000,-0.009,0.006,1.02,32.52,50.9,0.6,0.991,-0.027
144250000,-0.010,0.007,1.03,31.70,51.0,0.7,0.990,-0.030
144300000,-0.011,0.008,1.03,31.01,51.1,0.8,0.989,-0.033
144350000,-0.012,0.009,1.04,30.42,51.2,0.9,0.988,-0.036
144400000,-0.013,0.010,1.04,29.90,51.3,1.0,0.987,-0.039
144450000,-0.014,0.011,1.05,29.44,51.4,1.1,0.986,-0.042
144500000,-0.015,0.012,1.05,29.01,51.5,1.2,0.985,-0.045
144550000,-0.016,0.013,1.06,28.62,51.6,1.3,0.984,-0.048
144600000,-0.017,0.014,1.06,28.26,51.7,1.4,0.983,-0.051
144650000,-0.018,0.015,1.07,27.92,51.8,1.5,0.982,-0.054
144700000,-0.019,0.016,1.07,27.60,51.9,1.6,0.981,-0.057
144750000,-0.020,0.017,1.08,27.30,52.0,1.7,0.980,-0.060
144800000,-0.021,0.018,1.08,27.01,52.1,1.8,0.979,-0.063
144850000,-0.022,0.019,1.09,26.74,52.2,1.9,0.978,-0.066
144900000,-0.023,0.020,1.09,26.48,52.3,2.0,0.977,-0.069
144950000,-0.024,0.021,1.10,26.23,52.4,2.1,0.975,-0.073
145000000,-0.025,0.022,1.10,25.99,52.5,2.2,0.974,-0.076
145050000,-0.026,0.023,1.11,25.76,52.6,2.3,0.972,-0.080
145100000,-0.028,0.025,1.12,25.28,52.8,2.5,0.970,-0.086
145150000,-0.031,0.028,1.14,24.56,53.1,2.8,0.965,-0.095
145200000,-0.035,0.032,1.16,23.67,53.5,3.2,0.958,-0.108
145250000,-0.041,0.038,1.19,22.52,54.1,3.8,0.948,-0.125
145300000,-0.050,0.046,1.23,21.03,55.0,4.6,0.932,-0.148
145350000,-0.063,0.058,1.29,19.09,56.3,5.8,0.908,-0.180
145400000,-0.082,0.075,1.37,16.57,58.2,7.5,0.872,-0.223
145450000,-0.108,0.099,1.48,13.49,60.8,9.9,0.818,-0.282
145500000,-0.143,0.131,1.63,10.06,64.3,13.1,0.743,-0.359
145550000,-0.187,0.171,1.84,6.68,68.7,17.1,0.645,-0.456
145600000,-0.240,0.219,2.13,3.86,74.0,21.9,0.528,-0.569
145650000,-0.299,0.273,2.50,1.96,79.9,27.3,0.404,-0.688
145700000,-0.361,0.330,2.96,1.00,86.1,32.9,0.288,-0.799
145750000,-0.421,0.385,3.49,0.56,92.1,38.4,0.188,-0.891
145800000,-0.477,0.436,4.06,0.35,97.7,43.6,0.109,-0.955
145850000,-0.527,0.482,4.67,0.24,102.7,48.2,0.055,-0.990
145900000,-0.571,0.522,5.31,0.17,107.1,52.2,0.024,-1.003
145950000,-0.609,0.556,5.98,0.13,110.9,55.6,0.009,-1.009
146000000,-0.642,0.585,6.68,0.10,114.2,58.5,0.002,-1.010
