freq_hz,s11_re,s11_im,swr,return_loss_db,r_ohm,x_ohm,s21_re,s21_im
50000000,0.350,0.120,2.75,4.21,75.0,15.0,,
50500000,0.280,0.095,2.35,4.96,68.0,12.5,,
51000000,0.210,0.070,1.95,8.54,62.0,10.0,,
51500000,0.140,0.045,1.58,11.15,56.0,7.5,,
52000000,0.070,0.020,1.22,17.18,52.0,5.0,,
52500000,0.005,0.002,1.01,38.06,50.5,0.5,,
53000000,-0.060,-0.018,1.19,17.87,48.0,-4.5,,
53500000,-0.125,-0.038,1.44,12.65,45.0,-9.0,,
54000000,-0.190,-0.058,1.75,9.24,42.0,-13.5,,
70000000,0.420,0.155,3.20,3.65,85.0,22.0,,
70500000,0.350,0.128,2.75,4.21,77.0,18.5,,
71000000,0.280,0.102,2.35,4.96,69.0,15.0,,
71500000,0.210,0.075,1.95,8.54,61.0,11.5,,
72000000,0.140,0.048,1.58,11.15,54.0,8.0,,
72500000,0.070,0.022,1.22,17.18,51.5,4.5,,
73000000,0.002,0.001,1.00,54.10,50.2,0.2,,
73500000,-0.066,-0.020,1.21,17.34,48.0,-4.0,,
74000000,-0.134,-0.042,1.47,12.27,45.5,-8.5,,
144000000,0.400,0.140,3.00,3.87,82.0,20.0,,
144500000,0.320,0.112,2.60,4.46,72.0,16.0,,
145000000,0.240,0.084,2.20,5.35,63.0,12.0,,
145500000,0.160,0.056,1.75,9.24,55.0,8.0,,
146000000,0.080,0.028,1.28,15.79,51.5,4.0,,
146500000,0.005,0.002,1.01,38.06,50.5,0.3,,
147000000,-0.070,-0.024,1.23,16.82,48.5,-3.5,,
147500000,-0.145,-0.050,1.52,11.57,46.0,-7.5,,
148000000,-0.220,-0.076,2.00,6.02,43.0,-11.5,,
220000000,0.380,0.132,2.90,4.00,80.0,19.0,,
221000000,0.300,0.105,2.50,4.64,70.0,15.0,,
222000000,0.220,0.077,2.10,5.66,61.0,11.0,,
223000000,0.140,0.049,1.58,11.15,53.5,7.0,,
224000000,0.060,0.021,1.18,18.56,51.0,3.0,,
225000000,-0.001,0.000,1.00,60.00,50.0,-0.1,,
226000000,-0.062,-0.022,1.19,17.87,49.0,-3.0,,
227000000,-0.124,-0.043,1.43,12.78,47.5,-6.5,,
228000000,-0.186,-0.065,1.80,9.34,45.5,-10.0,,
432000000,0.360,0.126,2.80,4.14,78.0,18.0,,
433000000,0.280,0.098,2.35,4.96,68.0,14.0,,
434000000,0.200,0.070,1.90,8.83,59.0,10.0,,
435000000,0.120,0.042,1.40,13.43,52.5,6.0,,
436000000,0.040,0.014,1.10,21.58,50.5,2.0,,
437000000,-0.003,-0.001,1.01,46.48,49.9,-0.2,,
438000000,-0.046,-0.016,1.13,19.47,49.0,-2.5,,
439000000,-0.089,-0.031,1.29,14.96,48.0,-5.0,,
440000000,-0.132,-0.046,1.47,12.21,47.0,-7.5,,
